,file_path,emotion
0,data/RAVDESS/Actor_01\03-01-01-01-01-01-01.wav,neutral
1,data/RAVDESS/Actor_01\03-01-01-01-01-02-01.wav,neutral
2,data/RAVDESS/Actor_01\03-01-01-01-02-01-01.wav,neutral
3,data/RAVDESS/Actor_01\03-01-01-01-02-02-01.wav,neutral
4,data/RAVDESS/Actor_01\03-01-02-01-01-01-01.wav,neutral
5,data/RAVDESS/Actor_01\03-01-02-01-01-02-01.wav,neutral
6,data/RAVDESS/Actor_01\03-01-02-01-02-01-01.wav,neutral
7,data/RAVDESS/Actor_01\03-01-02-01-02-02-01.wav,neutral
8,data/RAVDESS/Actor_01\03-01-02-02-01-01-01.wav,neutral
9,data/RAVDESS/Actor_01\03-01-02-02-01-02-01.wav,neutral
10,data/RAVDESS/Actor_01\03-01-02-02-02-01-01.wav,neutral
11,data/RAVDESS/Actor_01\03-01-02-02-02-02-01.wav,neutral
12,data/RAVDESS/Actor_01\03-01-03-01-01-01-01.wav,happy
13,data/RAVDESS/Actor_01\03-01-03-01-01-02-01.wav,happy
14,data/RAVDESS/Actor_01\03-01-03-01-02-01-01.wav,happy
15,data/RAVDESS/Actor_01\03-01-03-01-02-02-01.wav,happy
16,data/RAVDESS/Actor_01\03-01-03-02-01-01-01.wav,happy
17,data/RAVDESS/Actor_01\03-01-03-02-01-02-01.wav,happy
18,data/RAVDESS/Actor_01\03-01-03-02-02-01-01.wav,happy
19,data/RAVDESS/Actor_01\03-01-03-02-02-02-01.wav,happy
20,data/RAVDESS/Actor_01\03-01-04-01-01-01-01.wav,sad
21,data/RAVDESS/Actor_01\03-01-04-01-01-02-01.wav,sad
22,data/RAVDESS/Actor_01\03-01-04-01-02-01-01.wav,sad
23,data/RAVDESS/Actor_01\03-01-04-01-02-02-01.wav,sad
24,data/RAVDESS/Actor_01\03-01-04-02-01-01-01.wav,sad
25,data/RAVDESS/Actor_01\03-01-04-02-01-02-01.wav,sad
26,data/RAVDESS/Actor_01\03-01-04-02-02-01-01.wav,sad
27,data/RAVDESS/Actor_01\03-01-04-02-02-02-01.wav,sad
28,data/RAVDESS/Actor_01\03-01-05-01-01-01-01.wav,angry
29,data/RAVDESS/Actor_01\03-01-05-01-01-02-01.wav,angry
30,data/RAVDESS/Actor_01\03-01-05-01-02-01-01.wav,angry
31,data/RAVDESS/Actor_01\03-01-05-01-02-02-01.wav,angry
32,data/RAVDESS/Actor_01\03-01-05-02-01-01-01.wav,angry
33,data/RAVDESS/Actor_01\03-01-05-02-01-02-01.wav,angry
34,data/RAVDESS/Actor_01\03-01-05-02-02-01-01.wav,angry
35,data/RAVDESS/Actor_01\03-01-05-02-02-02-01.wav,angry
36,data/RAVDESS/Actor_01\03-01-06-01-01-01-01.wav,fear
37,data/RAVDESS/Actor_01\03-01-06-01-01-02-01.wav,fear
38,data/RAVDESS/Actor_01\03-01-06-01-02-01-01.wav,fear
39,data/RAVDESS/Actor_01\03-01-06-01-02-02-01.wav,fear
40,data/RAVDESS/Actor_01\03-01-06-02-01-01-01.wav,fear
41,data/RAVDESS/Actor_01\03-01-06-02-01-02-01.wav,fear
42,data/RAVDESS/Actor_01\03-01-06-02-02-01-01.wav,fear
43,data/RAVDESS/Actor_01\03-01-06-02-02-02-01.wav,fear
44,data/RAVDESS/Actor_01\03-01-07-01-01-01-01.wav,disgust
45,data/RAVDESS/Actor_01\03-01-07-01-01-02-01.wav,disgust
46,data/RAVDESS/Actor_01\03-01-07-01-02-01-01.wav,disgust
47,data/RAVDESS/Actor_01\03-01-07-01-02-02-01.wav,disgust
48,data/RAVDESS/Actor_01\03-01-07-02-01-01-01.wav,disgust
49,data/RAVDESS/Actor_01\03-01-07-02-01-02-01.wav,disgust
50,data/RAVDESS/Actor_01\03-01-07-02-02-01-01.wav,disgust
51,data/RAVDESS/Actor_01\03-01-07-02-02-02-01.wav,disgust
52,data/RAVDESS/Actor_01\03-01-08-01-01-01-01.wav,surprised
53,data/RAVDESS/Actor_01\03-01-08-01-01-02-01.wav,surprised
54,data/RAVDESS/Actor_01\03-01-08-01-02-01-01.wav,surprised
55,data/RAVDESS/Actor_01\03-01-08-01-02-02-01.wav,surprised
56,data/RAVDESS/Actor_01\03-01-08-02-01-01-01.wav,surprised
57,data/RAVDESS/Actor_01\03-01-08-02-01-02-01.wav,surprised
58,data/RAVDESS/Actor_01\03-01-08-02-02-01-01.wav,surprised
59,data/RAVDESS/Actor_01\03-01-08-02-02-02-01.wav,surprised
60,data/RAVDESS/Actor_02\03-01-01-01-01-01-02.wav,neutral
61,data/RAVDESS/Actor_02\03-01-01-01-01-02-02.wav,neutral
62,data/RAVDESS/Actor_02\03-01-01-01-02-01-02.wav,neutral
63,data/RAVDESS/Actor_02\03-01-01-01-02-02-02.wav,neutral
64,data/RAVDESS/Actor_02\03-01-02-01-01-01-02.wav,neutral
65,data/RAVDESS/Actor_02\03-01-02-01-01-02-02.wav,neutral
66,data/RAVDESS/Actor_02\03-01-02-01-02-01-02.wav,neutral
67,data/RAVDESS/Actor_02\03-01-02-01-02-02-02.wav,neutral
68,data/RAVDESS/Actor_02\03-01-02-02-01-01-02.wav,neutral
69,data/RAVDESS/Actor_02\03-01-02-02-01-02-02.wav,neutral
70,data/RAVDESS/Actor_02\03-01-02-02-02-01-02.wav,neutral
71,data/RAVDESS/Actor_02\03-01-02-02-02-02-02.wav,neutral
72,data/RAVDESS/Actor_02\03-01-03-01-01-01-02.wav,happy
73,data/RAVDESS/Actor_02\03-01-03-01-01-02-02.wav,happy
74,data/RAVDESS/Actor_02\03-01-03-01-02-01-02.wav,happy
75,data/RAVDESS/Actor_02\03-01-03-01-02-02-02.wav,happy
76,data/RAVDESS/Actor_02\03-01-03-02-01-01-02.wav,happy
77,data/RAVDESS/Actor_02\03-01-03-02-01-02-02.wav,happy
78,data/RAVDESS/Actor_02\03-01-03-02-02-01-02.wav,happy
79,data/RAVDESS/Actor_02\03-01-03-02-02-02-02.wav,happy
80,data/RAVDESS/Actor_02\03-01-04-01-01-01-02.wav,sad
81,data/RAVDESS/Actor_02\03-01-04-01-01-02-02.wav,sad
82,data/RAVDESS/Actor_02\03-01-04-01-02-01-02.wav,sad
83,data/RAVDESS/Actor_02\03-01-04-01-02-02-02.wav,sad
84,data/RAVDESS/Actor_02\03-01-04-02-01-01-02.wav,sad
85,data/RAVDESS/Actor_02\03-01-04-02-01-02-02.wav,sad
86,data/RAVDESS/Actor_02\03-01-04-02-02-01-02.wav,sad
87,data/RAVDESS/Actor_02\03-01-04-02-02-02-02.wav,sad
88,data/RAVDESS/Actor_02\03-01-05-01-01-01-02.wav,angry
89,data/RAVDESS/Actor_02\03-01-05-01-01-02-02.wav,angry
90,data/RAVDESS/Actor_02\03-01-05-01-02-01-02.wav,angry
91,data/RAVDESS/Actor_02\03-01-05-01-02-02-02.wav,angry
92,data/RAVDESS/Actor_02\03-01-05-02-01-01-02.wav,angry
93,data/RAVDESS/Actor_02\03-01-05-02-01-02-02.wav,angry
94,data/RAVDESS/Actor_02\03-01-05-02-02-01-02.wav,angry
95,data/RAVDESS/Actor_02\03-01-05-02-02-02-02.wav,angry
96,data/RAVDESS/Actor_02\03-01-06-01-01-01-02.wav,fear
97,data/RAVDESS/Actor_02\03-01-06-01-01-02-02.wav,fear
98,data/RAVDESS/Actor_02\03-01-06-01-02-01-02.wav,fear
99,data/RAVDESS/Actor_02\03-01-06-01-02-02-02.wav,fear
100,data/RAVDESS/Actor_02\03-01-06-02-01-01-02.wav,fear
101,data/RAVDESS/Actor_02\03-01-06-02-01-02-02.wav,fear
102,data/RAVDESS/Actor_02\03-01-06-02-02-01-02.wav,fear
103,data/RAVDESS/Actor_02\03-01-06-02-02-02-02.wav,fear
104,data/RAVDESS/Actor_02\03-01-07-01-01-01-02.wav,disgust
105,data/RAVDESS/Actor_02\03-01-07-01-01-02-02.wav,disgust
106,data/RAVDESS/Actor_02\03-01-07-01-02-01-02.wav,disgust
107,data/RAVDESS/Actor_02\03-01-07-01-02-02-02.wav,disgust
108,data/RAVDESS/Actor_02\03-01-07-02-01-01-02.wav,disgust
109,data/RAVDESS/Actor_02\03-01-07-02-01-02-02.wav,disgust
110,data/RAVDESS/Actor_02\03-01-07-02-02-01-02.wav,disgust
111,data/RAVDESS/Actor_02\03-01-07-02-02-02-02.wav,disgust
112,data/RAVDESS/Actor_02\03-01-08-01-01-01-02.wav,surprised
113,data/RAVDESS/Actor_02\03-01-08-01-01-02-02.wav,surprised
114,data/RAVDESS/Actor_02\03-01-08-01-02-01-02.wav,surprised
115,data/RAVDESS/Actor_02\03-01-08-01-02-02-02.wav,surprised
116,data/RAVDESS/Actor_02\03-01-08-02-01-01-02.wav,surprised
117,data/RAVDESS/Actor_02\03-01-08-02-01-02-02.wav,surprised
118,data/RAVDESS/Actor_02\03-01-08-02-02-01-02.wav,surprised
119,data/RAVDESS/Actor_02\03-01-08-02-02-02-02.wav,surprised
120,data/RAVDESS/Actor_03\03-01-01-01-01-01-03.wav,neutral
121,data/RAVDESS/Actor_03\03-01-01-01-01-02-03.wav,neutral
122,data/RAVDESS/Actor_03\03-01-01-01-02-01-03.wav,neutral
123,data/RAVDESS/Actor_03\03-01-01-01-02-02-03.wav,neutral
124,data/RAVDESS/Actor_03\03-01-02-01-01-01-03.wav,neutral
125,data/RAVDESS/Actor_03\03-01-02-01-01-02-03.wav,neutral
126,data/RAVDESS/Actor_03\03-01-02-01-02-01-03.wav,neutral
127,data/RAVDESS/Actor_03\03-01-02-01-02-02-03.wav,neutral
128,data/RAVDESS/Actor_03\03-01-02-02-01-01-03.wav,neutral
129,data/RAVDESS/Actor_03\03-01-02-02-01-02-03.wav,neutral
130,data/RAVDESS/Actor_03\03-01-02-02-02-01-03.wav,neutral
131,data/RAVDESS/Actor_03\03-01-02-02-02-02-03.wav,neutral
132,data/RAVDESS/Actor_03\03-01-03-01-01-01-03.wav,happy
133,data/RAVDESS/Actor_03\03-01-03-01-01-02-03.wav,happy
134,data/RAVDESS/Actor_03\03-01-03-01-02-01-03.wav,happy
135,data/RAVDESS/Actor_03\03-01-03-01-02-02-03.wav,happy
136,data/RAVDESS/Actor_03\03-01-03-02-01-01-03.wav,happy
137,data/RAVDESS/Actor_03\03-01-03-02-01-02-03.wav,happy
138,data/RAVDESS/Actor_03\03-01-03-02-02-01-03.wav,happy
139,data/RAVDESS/Actor_03\03-01-03-02-02-02-03.wav,happy
140,data/RAVDESS/Actor_03\03-01-04-01-01-01-03.wav,sad
141,data/RAVDESS/Actor_03\03-01-04-01-01-02-03.wav,sad
142,data/RAVDESS/Actor_03\03-01-04-01-02-01-03.wav,sad
143,data/RAVDESS/Actor_03\03-01-04-01-02-02-03.wav,sad
144,data/RAVDESS/Actor_03\03-01-04-02-01-01-03.wav,sad
145,data/RAVDESS/Actor_03\03-01-04-02-01-02-03.wav,sad
146,data/RAVDESS/Actor_03\03-01-04-02-02-01-03.wav,sad
147,data/RAVDESS/Actor_03\03-01-04-02-02-02-03.wav,sad
